vocab,elem,endpointUrl
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Catalog,https://joinup.ec.europa.eu/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,http://wasabi.inria.fr/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#TechnicalFeature,http://resource.geolba.ac.at/PoolParty/sparql/lithology
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Resource,http://lov.okfn.org/dataset/lov/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Linkset,http://dbpedia.org/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#DataService,http://db.artsdata.ca/repositories/artsdata
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,http://sparql.orthodb.org/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Catalog,http://sparql.datao.net/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,http://dati.isprambiente.it/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Distribution,https://linkedwiki.com/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,https://aopwiki.rdf.bigcat-bioinformatics.org/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Distribution,https://www.foodie-cloud.org/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#DatasetDescription,https://id.nlm.nih.gov/mesh/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,https://sparql.orthodb.org/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,https://fr.dbpedia.org/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Catalog,https://ruian.linked.opendata.cz/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Linkset,http://wasabi.inria.fr/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Catalog,https://api.druid.datalegend.net/datasets/IISG/sicada/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#DatasetDescription,https://pgxlod.loria.fr/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,https://linked.opendata.cz/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Linkset,http://fr.dbpedia.org/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Distribution,http://opendata.aragon.es/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,http://opendatacommunities.org/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Distribution,http://weakg.i3s.unice.fr/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#DatasetDescription,https://chemblmirror.rdf.bigcat-bioinformatics.org/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Distribution,http://dati.camera.it/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Distribution,https://dati.cultura.gov.it/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Distribution,https://lov.linkeddata.es/dataset/lov/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,http://publications.europa.eu/webapi/rdf/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#DataService,https://lov.okfn.org/dataset/lov/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,https://datos.bcn.cl/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,http://resource.geolba.ac.at/PoolParty/sparql/GeologicUnit
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Resource,https://sparql.hegroup.org/sparql
